	SRR3240401_final	GCA_000982575.1	SRR3240409_final	GCF_000495995.1	GCF_000496035.1	GCF_001011675.1	GCF_001521765.1	GCF_001483145.1	GCF_001051975.1	SRR3240402_final	SRR3240405_final	GCF_000955665.1	GCF_000495935.1	GCF_000496015.1	GCF_001521735.1	GCF_000495975.1	GCF_001521815.1	GCF_000689515.1	GCF_001050935.1	SRR3240399_final	GCF_000495955.1	GCF_000769445.1	GCF_000689455.1	GCF_000367325.1	SRR3240400_final	GCF_000401415.1	SRR3240398_final	SRR3240414_final	SRR3240407_final	GCF_001521755.1	GCF_000240095.1	GCA_000773465.1	SRR3240397_final	GCF_000331815.1	SRR3240410_final	SRR3240412_final	SRR3240404_final	GCF_000735205.1	GCF_001482795.1	SRR3240413_final	SRR3240411_final	SRR3240408_final	GCF_000447375.1	GCF_000496055.1	SRR3240403_final	SRR3240406_final	GCF_000495935.2	GCF_001521745.1
SRR3240405_final	1756.0	57787.0	1775.0	53538.0	61986.0	59915.0	323515.0	258696.0	46132.0	1162.0	0.0	262768.0	53963.0	55639.0	268531.0	53585.0	49796.0	57508.0	56409.0	1284.0	53515.0	271257.0	57260.0	244947.0	2475.0	244311.0	1820.0	1715.0	1741.0	244624.0	50581.0	77845.0	1767.0	50044.0	2413.0	1821.0	1826.0	73617.0	61950.0	1752.0	1718.0	1699.0	64271.0	62249.0	2057.0	2131.0	54439.0	258213.0
GCF_000955665.1	262728.0	264239.0	257834.0	265915.0	259598.0	265436.0	275536.0	218749.0	240883.0	262733.0	262768.0	0.0	265857.0	266196.0	98236.0	266293.0	267210.0	264595.0	263761.0	262763.0	265800.0	100983.0	264436.0	248853.0	262993.0	248587.0	257456.0	262792.0	257123.0	248767.0	268611.0	272692.0	262723.0	267878.0	263918.0	262667.0	262644.0	268030.0	263829.0	262797.0	262468.0	262758.0	270211.0	259603.0	262733.0	257892.0	267437.0	220826.0
GCF_000495935.1	53638.0	62997.0	52570.0	2292.0	61766.0	55113.0	323659.0	260523.0	57129.0	53615.0	53963.0	265857.0	0.0	5839.0	270958.0	2404.0	57968.0	59355.0	61185.0	53636.0	1874.0	278757.0	59522.0	247474.0	53691.0	247110.0	52509.0	53648.0	52397.0	247271.0	60320.0	76389.0	53637.0	60344.0	55227.0	53657.0	53663.0	71974.0	64601.0	53673.0	53588.0	53605.0	63046.0	61898.0	53621.0	52778.0	1257.0	261614.0
GCF_000496015.1	55386.0	63163.0	54366.0	7671.0	64362.0	55142.0	323139.0	261006.0	56844.0	55363.0	55639.0	266196.0	5839.0	0.0	270486.0	7062.0	58127.0	60092.0	61648.0	55384.0	7436.0	281242.0	60206.0	247901.0	55468.0	247543.0	54312.0	55396.0	54199.0	247642.0	60475.0	76298.0	55385.0	60554.0	56878.0	55448.0	55410.0	72053.0	64625.0	55421.0	55384.0	55353.0	63506.0	64482.0	55369.0	54562.0	5136.0	264287.0
GCF_001521735.1	268347.0	269769.0	263149.0	270445.0	260137.0	262701.0	279940.0	226510.0	238871.0	268361.0	268531.0	98236.0	270958.0	270486.0	0.0	271070.0	265487.0	261267.0	269159.0	268406.0	270553.0	16277.0	261262.0	251399.0	268531.0	250952.0	262975.0	268441.0	262626.0	250397.0	263346.0	273336.0	268348.0	262959.0	269736.0	268315.0	268233.0	269216.0	261703.0	268395.0	268170.0	268363.0	267689.0	261508.0	268377.0	263718.0	271201.0	232201.0
GCF_000495975.1	53263.0	63095.0	52194.0	4374.0	62672.0	54900.0	323812.0	260373.0	57043.0	53240.0	53585.0	266293.0	2404.0	7062.0	271070.0	0.0	57955.0	59705.0	61165.0	53261.0	5075.0	278552.0	59859.0	247541.0	53316.0	247177.0	52133.0	53273.0	52021.0	247351.0	60428.0	76499.0	53262.0	60551.0	54923.0	53275.0	53288.0	71926.0	64496.0	53293.0	53212.0	53214.0	63284.0	62832.0	53246.0	52402.0	2422.0	261637.0
GCF_001521815.1	49672.0	18784.0	48725.0	57970.0	60441.0	60393.0	321108.0	256034.0	53898.0	49686.0	49796.0	267210.0	57968.0	58127.0	265487.0	57955.0	0.0	57102.0	15855.0	49695.0	57686.0	269917.0	57270.0	248678.0	49754.0	248023.0	48632.0	49676.0	48583.0	248109.0	57668.0	77093.0	49676.0	57654.0	50472.0	49746.0	49707.0	72421.0	61510.0	49716.0	49677.0	49670.0	65761.0	57718.0	49688.0	48859.0	58518.0	257342.0
GCF_000689515.1	57272.0	60471.0	55882.0	59458.0	59744.0	57892.0	318926.0	254449.0	52441.0	57285.0	57508.0	264595.0	59355.0	60092.0	261267.0	59705.0	57102.0	0.0	60262.0	57298.0	59343.0	266007.0	1404.0	247904.0	57487.0	247352.0	55839.0	57285.0	55592.0	247821.0	57839.0	81303.0	57278.0	57653.0	58308.0	57348.0	57291.0	75685.0	68184.0	57281.0	57281.0	57233.0	67453.0	59969.0	57286.0	56141.0	60332.0	254125.0
GCF_001050935.1	56312.0	12600.0	55164.0	61388.0	63392.0	61972.0	319295.0	260947.0	49776.0	56328.0	56409.0	263761.0	61185.0	61648.0	269159.0	61165.0	15855.0	60262.0	0.0	56320.0	60885.0	276572.0	59954.0	243675.0	56377.0	243001.0	55250.0	56273.0	54990.0	243130.0	54631.0	78554.0	56315.0	54612.0	56923.0	56456.0	56295.0	74133.0	64761.0	56362.0	56223.0	56231.0	65037.0	63677.0	56329.0	55551.0	61447.0	259809.0
SRR3240399_final	1032.0	57708.0	1089.0	53161.0	61822.0	59823.0	323449.0	258595.0	45937.0	1048.0	1284.0	262763.0	53636.0	55384.0	268406.0	53261.0	49695.0	57298.0	56320.0	0.0	53137.0	271137.0	57124.0	245061.0	1306.0	244425.0	1613.0	1045.0	1061.0	244738.0	50328.0	77655.0	1539.0	49890.0	1694.0	1150.0	1085.0	73487.0	61982.0	1061.0	1037.0	1039.0	64218.0	62174.0	1052.0	1435.0	54016.0	258095.0
GCF_000495955.1	53140.0	63059.0	52122.0	5377.0	63495.0	54726.0	323695.0	260451.0	56890.0	53117.0	53515.0	265800.0	1874.0	7436.0	270553.0	5075.0	57686.0	59343.0	60885.0	53137.0	0.0	278890.0	59539.0	247840.0	53193.0	247450.0	52060.0	53149.0	51949.0	247574.0	60258.0	76268.0	53138.0	60332.0	54851.0	53208.0	53164.0	71755.0	64223.0	53176.0	53139.0	53109.0	62972.0	63700.0	53123.0	52330.0	1886.0	261534.0
GCF_000769445.1	271083.0	278332.0	265861.0	278798.0	275765.0	266433.0	287869.0	237189.0	239558.0	271093.0	271257.0	100983.0	278757.0	281242.0	16277.0	278552.0	269917.0	266007.0	276572.0	271137.0	278890.0	0.0	266559.0	252534.0	271338.0	252041.0	265672.0	271177.0	265339.0	251430.0	267710.0	278284.0	271080.0	267651.0	272929.0	271030.0	270964.0	273838.0	266517.0	271126.0	270789.0	271099.0	272144.0	275598.0	271109.0	266556.0	279369.0	239927.0
GCF_000689455.1	57097.0	60719.0	55645.0	59643.0	60112.0	57859.0	318775.0	254472.0	52401.0	57104.0	57260.0	264436.0	59522.0	60206.0	261262.0	59859.0	57270.0	1404.0	59954.0	57124.0	59539.0	266559.0	0.0	247775.0	57308.0	247206.0	55595.0	57107.0	55387.0	247915.0	58057.0	81242.0	57098.0	57864.0	58175.0	57150.0	57113.0	75899.0	68423.0	57101.0	57082.0	57099.0	67555.0	59975.0	57105.0	55902.0	60499.0	253889.0
GCF_000367325.1	244942.0	243590.0	242016.0	247757.0	241950.0	253505.0	249772.0	248766.0	225744.0	244937.0	244947.0	248853.0	247474.0	247901.0	251399.0	247541.0	248678.0	247904.0	243675.0	245061.0	247840.0	252534.0	247775.0	0.0	245083.0	2363.0	242071.0	245064.0	241636.0	2759.0	248438.0	246748.0	245061.0	248601.0	245315.0	244752.0	244867.0	251691.0	249699.0	244940.0	244852.0	245062.0	252559.0	243048.0	244941.0	241867.0	248068.0	248813.0
SRR3240400_final	2238.0	57766.0	2262.0	53216.0	61963.0	59747.0	323711.0	258836.0	46058.0	2213.0	2475.0	262993.0	53691.0	55468.0	268531.0	53316.0	49754.0	57487.0	56377.0	1306.0	53193.0	271338.0	57308.0	245083.0	0.0	244447.0	1837.0	2219.0	2218.0	244760.0	50495.0	77888.0	1804.0	50007.0	2904.0	2327.0	2258.0	73653.0	62069.0	2249.0	2230.0	2178.0	64453.0	62274.0	2225.0	2624.0	54111.0	258573.0
GCF_000401415.1	244307.0	242716.0	241380.0	247395.0	241602.0	253133.0	249127.0	248641.0	224838.0	244301.0	244311.0	248587.0	247110.0	247543.0	250952.0	247177.0	248023.0	247352.0	243001.0	244425.0	247450.0	252041.0	247206.0	2363.0	244447.0	0.0	241435.0	244428.0	241000.0	3274.0	247667.0	246784.0	244425.0	247888.0	244732.0	244116.0	244231.0	251417.0	249299.0	244304.0	244224.0	244426.0	251368.0	242658.0	244305.0	241231.0	247576.0	248879.0
SRR3240398_final	1588.0	56737.0	1499.0	52081.0	60542.0	58792.0	314939.0	253703.0	44868.0	1574.0	1820.0	257456.0	52509.0	54312.0	262975.0	52133.0	48632.0	55839.0	55250.0	1613.0	52060.0	265672.0	55595.0	242071.0	1837.0	241435.0	0.0	1566.0	1469.0	241748.0	49262.0	75573.0	1561.0	48823.0	2267.0	1686.0	1586.0	71874.0	60007.0	1598.0	1571.0	1547.0	62771.0	60940.0	1564.0	1778.0	52934.0	253506.0
SRR3240414_final	1533.0	57663.0	1571.0	53173.0	61898.0	59843.0	323474.0	258600.0	45921.0	907.0	1715.0	262792.0	53648.0	55396.0	268441.0	53273.0	49676.0	57285.0	56273.0	1045.0	53149.0	271177.0	57107.0	245064.0	2219.0	244428.0	1566.0	0.0	1530.0	244741.0	50363.0	77673.0	1517.0	49874.0	1969.0	1562.0	1569.0	73506.0	61944.0	1526.0	911.0	1580.0	64235.0	62210.0	1822.0	1921.0	54068.0	258196.0
SRR3240407_final	1539.0	56427.0	1493.0	51969.0	60305.0	58691.0	314668.0	253288.0	44804.0	921.0	1741.0	257123.0	52397.0	54199.0	262626.0	52021.0	48583.0	55592.0	54990.0	1061.0	51949.0	265339.0	55387.0	241636.0	2218.0	241000.0	1469.0	1530.0	0.0	241313.0	49215.0	75463.0	1516.0	48765.0	2213.0	1653.0	1549.0	71720.0	59949.0	1562.0	1532.0	1508.0	62592.0	60667.0	1811.0	1758.0	52857.0	253226.0
GCF_001521755.1	244618.0	242999.0	241693.0	247543.0	241768.0	253267.0	248730.0	248935.0	225747.0	244614.0	244624.0	248767.0	247271.0	247642.0	250397.0	247351.0	248109.0	247821.0	243130.0	244738.0	247574.0	251430.0	247915.0	2759.0	244760.0	3274.0	241748.0	244741.0	241313.0	0.0	248099.0	246680.0	244738.0	248313.0	245062.0	244429.0	244544.0	251617.0	248594.0	244615.0	244525.0	244739.0	252772.0	243217.0	244618.0	241544.0	247837.0	248529.0
GCF_000240095.1	50316.0	56836.0	49402.0	60084.0	61491.0	62615.0	320818.0	255948.0	6821.0	50328.0	50581.0	268611.0	60320.0	60475.0	263346.0	60428.0	57668.0	57839.0	54631.0	50328.0	60258.0	267710.0	58057.0	248438.0	50495.0	247667.0	49262.0	50363.0	49215.0	248099.0	0.0	75089.0	50356.0	5793.0	50923.0	50340.0	50353.0	71152.0	63216.0	50321.0	50277.0	50365.0	64331.0	58410.0	50333.0	49484.0	60503.0	255710.0
GCA_000773465.1	77589.0	79574.0	75766.0	76219.0	75643.0	71829.0	330810.0	268100.0	68213.0	77626.0	77845.0	272692.0	76389.0	76298.0	273336.0	76499.0	77093.0	81303.0	78554.0	77655.0	76268.0	278284.0	81242.0	246748.0	77888.0	246784.0	75573.0	77673.0	75463.0	246680.0	75089.0	0.0	77621.0	75328.0	78467.0	77675.0	77666.0	33826.0	81909.0	77638.0	77657.0	77654.0	59883.0	76667.0	77641.0	75941.0	76413.0	269142.0
SRR3240397_final	1531.0	57718.0	1554.0	53162.0	61799.0	59825.0	323441.0	258633.0	45956.0	1517.0	1767.0	262723.0	53637.0	55385.0	268348.0	53262.0	49676.0	57278.0	56315.0	1539.0	53138.0	271080.0	57098.0	245061.0	1804.0	244425.0	1561.0	1517.0	1516.0	244738.0	50356.0	77621.0	0.0	49906.0	2197.0	1626.0	1550.0	73483.0	61931.0	1542.0	1496.0	1493.0	64183.0	62149.0	1517.0	1910.0	54022.0	258067.0
GCF_000331815.1	49863.0	57189.0	48922.0	60158.0	61649.0	62542.0	320602.0	255753.0	7032.0	49878.0	50044.0	267878.0	60344.0	60554.0	262959.0	60551.0	57654.0	57653.0	54612.0	49890.0	60332.0	267651.0	57864.0	248601.0	50007.0	247888.0	48823.0	49874.0	48765.0	248313.0	5793.0	75328.0	49906.0	0.0	50571.0	49891.0	49864.0	70746.0	63001.0	49868.0	49865.0	49877.0	64575.0	58465.0	49883.0	49056.0	60809.0	255897.0
SRR3240410_final	2192.0	58346.0	2235.0	54882.0	63298.0	60600.0	324318.0	259805.0	46545.0	1663.0	2413.0	263918.0	55227.0	56878.0	269736.0	54923.0	50472.0	58308.0	56923.0	1694.0	54851.0	272929.0	58175.0	245315.0	2904.0	244732.0	2267.0	1969.0	2213.0	245062.0	50923.0	78467.0	2197.0	50571.0	0.0	2066.0	2250.0	74153.0	62655.0	1984.0	1960.0	2228.0	65138.0	63675.0	2501.0	2613.0	55696.0	259048.0
SRR3240412_final	1616.0	57800.0	1685.0	53232.0	61739.0	59862.0	323351.0	258531.0	45925.0	1019.0	1821.0	262667.0	53657.0	55448.0	268315.0	53275.0	49746.0	57348.0	56456.0	1150.0	53208.0	271030.0	57150.0	244752.0	2327.0	244116.0	1686.0	1562.0	1653.0	244429.0	50340.0	77675.0	1626.0	49891.0	2066.0	0.0	1672.0	73577.0	61951.0	1594.0	1030.0	1653.0	64220.0	62120.0	1930.0	2014.0	54073.0	257904.0
SRR3240404_final	1567.0	57685.0	1588.0	53188.0	61831.0	59851.0	323249.0	258455.0	45914.0	931.0	1826.0	262644.0	53663.0	55410.0	268233.0	53288.0	49707.0	57291.0	56295.0	1085.0	53164.0	270964.0	57113.0	244867.0	2258.0	244231.0	1586.0	1569.0	1549.0	244544.0	50353.0	77666.0	1550.0	49864.0	2250.0	1672.0	0.0	73512.0	61944.0	1603.0	1553.0	1534.0	64221.0	62143.0	1854.0	1947.0	54083.0	257925.0
GCF_000735205.1	73477.0	75051.0	71900.0	71822.0	69603.0	67512.0	325356.0	262298.0	64250.0	73492.0	73617.0	268030.0	71974.0	72053.0	269216.0	71926.0	72421.0	75685.0	74133.0	73487.0	71755.0	273838.0	75899.0	251691.0	73653.0	251417.0	71874.0	73506.0	71720.0	251617.0	71152.0	33826.0	73483.0	70746.0	74153.0	73577.0	73512.0	0.0	77918.0	73544.0	73439.0	73480.0	55090.0	70551.0	73496.0	72216.0	72550.0	264852.0
GCF_001482795.1	61926.0	66573.0	60171.0	64302.0	65552.0	68728.0	319676.0	248722.0	55097.0	61939.0	61950.0	263829.0	64601.0	64625.0	261703.0	64496.0	61510.0	68184.0	64761.0	61982.0	64223.0	266517.0	68423.0	249699.0	62069.0	249299.0	60007.0	61944.0	59949.0	248594.0	63216.0	81909.0	61931.0	63001.0	62655.0	61951.0	61944.0	77918.0	0.0	61939.0	61807.0	61928.0	71111.0	65246.0	61939.0	60320.0	64674.0	251593.0
SRR3240413_final	1563.0	57763.0	1615.0	53199.0	61853.0	59822.0	323500.0	258653.0	45922.0	942.0	1752.0	262797.0	53673.0	55421.0	268395.0	53293.0	49716.0	57281.0	56362.0	1061.0	53176.0	271126.0	57101.0	244940.0	2249.0	244304.0	1598.0	1526.0	1562.0	244615.0	50321.0	77638.0	1542.0	49868.0	1984.0	1594.0	1603.0	73544.0	61939.0	0.0	949.0	1605.0	64179.0	62205.0	1852.0	1953.0	54060.0	258165.0
SRR3240411_final	1525.0	57649.0	1564.0	53163.0	61814.0	59797.0	323262.0	258500.0	45877.0	919.0	1718.0	262468.0	53588.0	55384.0	268170.0	53212.0	49677.0	57281.0	56223.0	1037.0	53139.0	270789.0	57082.0	244852.0	2230.0	244224.0	1571.0	911.0	1532.0	244525.0	50277.0	77657.0	1496.0	49865.0	1960.0	1030.0	1553.0	73439.0	61807.0	949.0	0.0	1547.0	64157.0	62176.0	1812.0	1920.0	54048.0	257715.0
SRR3240408_final	1492.0	57663.0	1610.0	53129.0	61848.0	59628.0	323408.0	258573.0	45925.0	856.0	1699.0	262758.0	53605.0	55353.0	268363.0	53214.0	49670.0	57233.0	56231.0	1039.0	53109.0	271099.0	57099.0	245062.0	2178.0	244426.0	1547.0	1580.0	1508.0	244739.0	50365.0	77654.0	1493.0	49877.0	2228.0	1653.0	1534.0	73480.0	61928.0	1605.0	1547.0	0.0	64191.0	62156.0	1775.0	1883.0	54007.0	258096.0
GCF_000447375.1	64184.0	66817.0	62854.0	62716.0	62704.0	63873.0	330677.0	257332.0	56661.0	64193.0	64271.0	270211.0	63046.0	63506.0	267689.0	63284.0	65761.0	67453.0	65037.0	64218.0	62972.0	272144.0	67555.0	252559.0	64453.0	251368.0	62771.0	64235.0	62592.0	252772.0	64331.0	59883.0	64183.0	64575.0	65138.0	64220.0	64221.0	55090.0	71111.0	64179.0	64157.0	64191.0	0.0	67176.0	64189.0	62921.0	62979.0	262050.0
GCF_000496055.1	62200.0	65633.0	60856.0	63407.0	2210.0	52140.0	311997.0	254640.0	52915.0	62162.0	62249.0	259603.0	61898.0	64482.0	261508.0	62832.0	57718.0	59969.0	63677.0	62174.0	63700.0	275598.0	59975.0	243048.0	62274.0	242658.0	60940.0	62210.0	60667.0	243217.0	58410.0	76667.0	62149.0	58465.0	63675.0	62120.0	62143.0	70551.0	65246.0	62205.0	62176.0	62156.0	67176.0	0.0	62160.0	61032.0	62091.0	253710.0
SRR3240403_final	1546.0	57732.0	1863.0	53146.0	61812.0	59627.0	323412.0	258603.0	45934.0	879.0	2057.0	262733.0	53621.0	55369.0	268377.0	53246.0	49688.0	57286.0	56329.0	1052.0	53123.0	271109.0	57105.0	244941.0	2225.0	244305.0	1564.0	1822.0	1811.0	244618.0	50333.0	77641.0	1517.0	49883.0	2501.0	1930.0	1854.0	73496.0	61939.0	1852.0	1812.0	1775.0	64189.0	62160.0	0.0	2217.0	54006.0	258076.0
SRR3240406_final	1912.0	57029.0	1769.0	52350.0	60571.0	59047.0	315562.0	254104.0	45095.0	1307.0	2131.0	257892.0	52778.0	54562.0	263718.0	52402.0	48859.0	56141.0	55551.0	1435.0	52330.0	266556.0	55902.0	241867.0	2624.0	241231.0	1778.0	1921.0	1758.0	241544.0	49484.0	75941.0	1910.0	49056.0	2613.0	2014.0	1947.0	72216.0	60320.0	1953.0	1920.0	1883.0	62921.0	61032.0	2217.0	0.0	53198.0	254245.0
GCF_000495935.2	54018.0	63114.0	53025.0	1892.0	62371.0	55698.0	324422.0	261179.0	57975.0	54000.0	54439.0	267437.0	1257.0	5136.0	271201.0	2422.0	58518.0	60332.0	61447.0	54016.0	1886.0	279369.0	60499.0	248068.0	54111.0	247576.0	52934.0	54068.0	52857.0	247837.0	60503.0	76413.0	54022.0	60809.0	55696.0	54073.0	54083.0	72550.0	64674.0	54060.0	54048.0	54007.0	62979.0	62091.0	54006.0	53198.0	0.0	262918.0
GCF_001521745.1	258070.0	260046.0	253810.0	261464.0	252849.0	258957.0	289027.0	107316.0	228320.0	258075.0	258213.0	220826.0	261614.0	264287.0	232201.0	261637.0	257342.0	254125.0	259809.0	258095.0	261534.0	239927.0	253889.0	248813.0	258573.0	248879.0	253506.0	258196.0	253226.0	248529.0	255710.0	269142.0	258067.0	255897.0	259048.0	257904.0	257925.0	264852.0	251593.0	258165.0	257715.0	258096.0	262050.0	253710.0	258076.0	254245.0	262918.0	0.0
