	SRR3240401_final	GCA_000982575.1	SRR3240409_final	GCF_000495995.1	GCF_000496035.1	GCF_001011675.1	GCF_001521765.1	GCF_001483145.1	GCF_001051975.1	SRR3240402_final	SRR3240405_final	GCF_000955665.1	GCF_000495935.1	GCF_000496015.1	GCF_001521735.1	GCF_000495975.1	GCF_001521815.1	GCF_000689515.1	GCF_001050935.1	SRR3240399_final	GCF_000495955.1	GCF_000769445.1	GCF_000689455.1	GCF_000367325.1	SRR3240400_final	GCF_000401415.1	SRR3240398_final	SRR3240414_final	SRR3240407_final	GCF_001521755.1	GCF_000240095.1	GCA_000773465.1	SRR3240397_final	GCF_000331815.1	SRR3240410_final	SRR3240412_final	SRR3240404_final	GCF_000735205.1	GCF_001482795.1	SRR3240413_final	SRR3240411_final	SRR3240408_final	GCF_000447375.1	GCF_000496055.1	SRR3240403_final	SRR3240406_final	GCF_000495935.2	GCF_001521745.1
SRR3240405_final	3925907.0	3568032.0	3860772.0	3688469.0	3482840.0	3518900.0	3289886.0	3423479.0	3170681.0	3922477.0	3938871.0	3274174.0	3689261.0	3635582.0	3317259.0	3688091.0	3587031.0	3533071.0	3580531.0	3922206.0	3686270.0	3427650.0	3529845.0	1550375.0	3933543.0	1545518.0	3853372.0	3925272.0	3849331.0	1549447.0	3548745.0	3433687.0	3926551.0	3541793.0	3933209.0	3924736.0	3945198.0	3427143.0	3529114.0	3925548.0	3924964.0	3924875.0	3465690.0	3495644.0	3929125.0	3859044.0	3702578.0	3384791.0
GCF_000955665.1	3273600.0	3241430.0	3216060.0	3300716.0	3252051.0	3293691.0	3411916.0	3442501.0	3000634.0	3273659.0	3274174.0	4242519.0	3298159.0	3299052.0	3455885.0	3301776.0	3310552.0	3300191.0	3251975.0	3274043.0	3297749.0	3531856.0	3297877.0	1578730.0	3276063.0	1576025.0	3211817.0	3274297.0	3205952.0	1577914.0	3331503.0	3310915.0	3273659.0	3311806.0	3289267.0	3273063.0	3272684.0	3292327.0	3281434.0	3274648.0	3270888.0	3273698.0	3329857.0	3241108.0	3273659.0	3216958.0	3320504.0	3484332.0
GCF_000495935.1	3684924.0	3518239.0	3622619.0	4405286.0	3800933.0	3526790.0	3280845.0	3424578.0	3244468.0	3684982.0	3689261.0	3298159.0	4337616.0	4219430.0	3317808.0	4385603.0	3571238.0	3595221.0	3531257.0	3685784.0	4398930.0	3494616.0	3595399.0	1562866.0	3687079.0	1560371.0	3616336.0	3686378.0	3611733.0	1561995.0	3598904.0	3444397.0	3685098.0	3589521.0	3721804.0	3686095.0	3683513.0	3424860.0	3553519.0	3685811.0	3684327.0	3684723.0	3449563.0	3694669.0	3684999.0	3624574.0	4381382.0	3404197.0
GCF_000496015.1	3632116.0	3519117.0	3569839.0	4227432.0	3710389.0	3528032.0	3277069.0	3441969.0	3243887.0	3632174.0	3635582.0	3299052.0	4219430.0	4239486.0	3319269.0	4260421.0	3571840.0	3615754.0	3532390.0	3632976.0	4223015.0	3428829.0	3615379.0	1565588.0	3634648.0	1563250.0	3564193.0	3633570.0	3559275.0	1564120.0	3601657.0	3443072.0	3632290.0	3592123.0	3664849.0	3633043.0	3630705.0	3435084.0	3553943.0	3633003.0	3631431.0	3631915.0	3459475.0	3608660.0	3632191.0	3571263.0	4172638.0	3421039.0
GCF_001521735.1	3313878.0	3281295.0	3252011.0	3316226.0	3257384.0	3260068.0	3424892.0	3498859.0	2990017.0	3314123.0	3317259.0	3455885.0	3317808.0	3319269.0	4229770.0	3318222.0	3293873.0	3257753.0	3288280.0	3314862.0	3316617.0	4249493.0	3256911.0	1583925.0	3317184.0	1579626.0	3248838.0	3316436.0	3244444.0	1578579.0	3277909.0	3330534.0	3314123.0	3271604.0	3334914.0	3314480.0	3313435.0	3317666.0	3275536.0	3315336.0	3312625.0	3314175.0	3328465.0	3269768.0	3314520.0	3257295.0	3325552.0	3615490.0
GCF_000495975.1	3683837.0	3518885.0	3621418.0	4419846.0	3816040.0	3526159.0	3282805.0	3424717.0	3244761.0	3683895.0	3688091.0	3301776.0	4385603.0	4260421.0	3318222.0	4334105.0	3571614.0	3604662.0	3530168.0	3684697.0	4418251.0	3495014.0	3604565.0	1563509.0	3686095.0	1561014.0	3615135.0	3685291.0	3610532.0	1561851.0	3600972.0	3447921.0	3684011.0	3592958.0	3720875.0	3684798.0	3682426.0	3424522.0	3553783.0	3684521.0	3683186.0	3683229.0	3453808.0	3709719.0	3683912.0	3623373.0	4394890.0	3404453.0
GCF_001521815.1	3584150.0	3734042.0	3522145.0	3572667.0	3496159.0	3544093.0	3268852.0	3413042.0	3285958.0	3584225.0	3587031.0	3310552.0	3571238.0	3571840.0	3293873.0	3571614.0	3959896.0	3545075.0	3746698.0	3584549.0	3569398.0	3346807.0	3544901.0	1575926.0	3585496.0	1571433.0	3514235.0	3584432.0	3510405.0	1573867.0	3640843.0	3446881.0	3584590.0	3638834.0	3602351.0	3585226.0	3582936.0	3433559.0	3476332.0	3584855.0	3583480.0	3583983.0	3496337.0	3525536.0	3584226.0	3521017.0	3583690.0	3379432.0
GCF_000689515.1	3529111.0	3501575.0	3469423.0	3606400.0	3548192.0	3557343.0	3259305.0	3395649.0	3117905.0	3529286.0	3533071.0	3300191.0	3595221.0	3615754.0	3257753.0	3604662.0	3545075.0	4032057.0	3520759.0	3529492.0	3605476.0	3317074.0	4038371.0	1570112.0	3535279.0	1565734.0	3464481.0	3530117.0	3458174.0	1569108.0	3481456.0	3447931.0	3529784.0	3476421.0	3557943.0	3530058.0	3528713.0	3429805.0	3535219.0	3529799.0	3528616.0	3529012.0	3473925.0	3519374.0	3529416.0	3477516.0	3621429.0	3370763.0
GCF_001050935.1	3578015.0	3906235.0	3515280.0	3533489.0	3451894.0	3500609.0	3226362.0	3407979.0	3186236.0	3578113.0	3580531.0	3251975.0	3531257.0	3532390.0	3288280.0	3530168.0	3746698.0	3520759.0	3922153.0	3578802.0	3529344.0	3362774.0	3517954.0	1543976.0	3579985.0	1538971.0	3511739.0	3577826.0	3503473.0	1540292.0	3547649.0	3413264.0	3578478.0	3542740.0	3594994.0	3578784.0	3576328.0	3402803.0	3455441.0	3578819.0	3576704.0	3577340.0	3416127.0	3465829.0	3578114.0	3515476.0	3536193.0	3357236.0
SRR3240399_final	3919768.0	3566433.0	3855728.0	3684846.0	3479706.0	3517798.0	3289342.0	3421354.0	3170259.0	3919563.0	3922206.0	3274043.0	3685784.0	3632976.0	3314862.0	3684697.0	3584549.0	3529492.0	3578802.0	3913829.0	3682714.0	3425853.0	3527315.0	1550794.0	3922630.0	1545937.0	3852082.0	3919744.0	3843925.0	1549866.0	3547573.0	3429819.0	3925675.0	3540786.0	3926708.0	3921057.0	3938284.0	3424165.0	3528351.0	3919919.0	3920482.0	3919464.0	3464492.0	3493143.0	3919697.0	3853092.0	3699593.0	3383095.0
GCF_000495955.1	3681854.0	3518177.0	3619493.0	4409821.0	3823449.0	3524818.0	3282166.0	3423970.0	3243308.0	3681912.0	3686270.0	3297749.0	4398930.0	4223015.0	3316617.0	4418251.0	3569398.0	3605476.0	3529344.0	3682714.0	4334646.0	3497117.0	3605740.0	1565046.0	3684009.0	1562319.0	3613210.0	3683308.0	3608607.0	1563045.0	3599092.0	3443701.0	3682028.0	3589693.0	3719270.0	3683123.0	3680443.0	3433136.0	3552351.0	3682768.0	3681355.0	3681734.0	3449204.0	3716293.0	3681929.0	3621448.0	4377156.0	3403293.0
GCF_000769445.1	3425055.0	3357916.0	3362739.0	3497288.0	3397890.0	3314159.0	3506429.0	3604781.0	2998254.0	3425114.0	3427650.0	3531856.0	3494616.0	3428829.0	4249493.0	3495014.0	3346807.0	3317074.0	3362774.0	3425853.0	3497117.0	4578109.0	3325982.0	1592257.0	3428527.0	1588036.0	3359413.0	3427492.0	3355205.0	1585580.0	3334871.0	3390113.0	3425114.0	3330906.0	3452052.0	3425517.0	3424491.0	3373572.0	3338167.0	3426357.0	3422332.0	3425231.0	3384671.0	3400499.0	3425511.0	3369035.0	3506903.0	3751698.0
GCF_000689455.1	3526934.0	3502558.0	3466943.0	3607292.0	3549514.0	3554280.0	3257480.0	3394566.0	3115534.0	3526874.0	3529845.0	3297877.0	3595399.0	3615379.0	3256911.0	3604565.0	3544901.0	4038371.0	3517954.0	3527315.0	3605740.0	3325982.0	4036754.0	1569298.0	3532936.0	1564770.0	3461700.0	3527774.0	3455801.0	1569379.0	3481885.0	3447302.0	3527372.0	3476229.0	3556120.0	3526957.0	3526370.0	3428523.0	3536175.0	3527441.0	3525662.0	3526906.0	3475023.0	3518945.0	3527004.0	3474968.0	3620439.0	3367067.0
GCF_000367325.1	1549843.0	1540359.0	1533658.0	1564386.0	1530234.0	1625591.0	1585933.0	1570404.0	1433595.0	1549899.0	1550375.0	1578730.0	1562866.0	1565588.0	1583925.0	1563509.0	1575926.0	1570112.0	1543976.0	1550794.0	1565046.0	1592257.0	1569298.0	3840286.0	1551074.0	3803770.0	1534858.0	1550794.0	1530893.0	3883147.0	1569162.0	1553831.0	1550794.0	1567570.0	1553908.0	1549157.0	1549588.0	1590081.0	1577700.0	1549906.0	1549548.0	1550794.0	1590644.0	1537889.0	1549899.0	1532990.0	1568751.0	1574943.0
SRR3240400_final	3931146.0	3567755.0	3866597.0	3686141.0	3483228.0	3519153.0	3291957.0	3423906.0	3172309.0	3931454.0	3933543.0	3276063.0	3687079.0	3634648.0	3317184.0	3686095.0	3585496.0	3535279.0	3579985.0	3922630.0	3684009.0	3428527.0	3532936.0	1551074.0	3956801.0	1546217.0	3855152.0	3932265.0	3854765.0	1550146.0	3549736.0	3433236.0	3927969.0	3542594.0	3939700.0	3930843.0	3950333.0	3426666.0	3531488.0	3931795.0	3930850.0	3931174.0	3467733.0	3496360.0	3931721.0	3864874.0	3701003.0	3387669.0
GCF_000401415.1	1545043.0	1535307.0	1528801.0	1561892.0	1527724.0	1615158.0	1581142.0	1568895.0	1427145.0	1545042.0	1545518.0	1576025.0	1560371.0	1563250.0	1579626.0	1561014.0	1571433.0	1565734.0	1538971.0	1545937.0	1562319.0	1588036.0	1564770.0	3803770.0	1546217.0	3796928.0	1530001.0	1545937.0	1526036.0	3826191.0	1564498.0	1554809.0	1545937.0	1563527.0	1549769.0	1544300.0	1544731.0	1586657.0	1573899.0	1545049.0	1544917.0	1545937.0	1582557.0	1535151.0	1545042.0	1528133.0	1565726.0	1574815.0
SRR3240398_final	3851532.0	3499295.0	3845374.0	3615241.0	3409442.0	3456101.0	3226195.0	3353741.0	3107896.0	3851744.0	3853372.0	3211817.0	3616336.0	3564193.0	3248838.0	3615135.0	3514235.0	3464481.0	3511739.0	3852082.0	3613210.0	3359413.0	3461700.0	1534858.0	3855152.0	1530001.0	3876925.0	3851692.0	3844987.0	1533930.0	3485212.0	3365264.0	3851997.0	3479393.0	3859415.0	3852002.0	3871776.0	3363179.0	3458377.0	3852282.0	3851600.0	3851443.0	3403386.0	3422935.0	3852052.0	3849299.0	3629220.0	3314866.0
SRR3240414_final	3924969.0	3565596.0	3859860.0	3685440.0	3483765.0	3519092.0	3289982.0	3421874.0	3170014.0	3919739.0	3925272.0	3274297.0	3686378.0	3633570.0	3316436.0	3685291.0	3584432.0	3530117.0	3577826.0	3919744.0	3683308.0	3427492.0	3527774.0	1550794.0	3932265.0	1545937.0	3851692.0	3917517.0	3849141.0	1549866.0	3547555.0	3431013.0	3925517.0	3540413.0	3929648.0	3923718.0	3944164.0	3424989.0	3528331.0	3925721.0	3920381.0	3926147.0	3465586.0	3497059.0	3928338.0	3857978.0	3700302.0	3384860.0
SRR3240407_final	3848215.0	3491132.0	3845783.0	3610638.0	3404122.0	3451644.0	3223858.0	3347862.0	3103460.0	3844385.0	3849331.0	3205952.0	3611733.0	3559275.0	3244444.0	3610532.0	3510405.0	3458174.0	3503473.0	3843925.0	3608607.0	3355205.0	3455801.0	1530893.0	3854765.0	1526036.0	3844987.0	3849141.0	3859313.0	1529965.0	3480719.0	3360821.0	3848531.0	3475196.0	3856149.0	3849313.0	3868837.0	3357162.0	3453773.0	3849280.0	3848817.0	3848659.0	3398609.0	3417310.0	3851157.0	3847499.0	3624732.0	3310228.0
GCF_001521755.1	1548858.0	1537448.0	1532730.0	1562847.0	1528544.0	1623935.0	1580672.0	1570784.0	1431861.0	1548971.0	1549447.0	1577914.0	1561995.0	1564120.0	1578579.0	1561851.0	1573867.0	1569108.0	1540292.0	1549866.0	1563045.0	1585580.0	1569379.0	3883147.0	1550146.0	3826191.0	1533930.0	1549866.0	1529965.0	3853643.0	1567934.0	1554181.0	1549866.0	1566917.0	1553599.0	1548229.0	1548660.0	1589058.0	1571646.0	1548971.0	1548394.0	1549866.0	1589177.0	1537474.0	1548971.0	1532062.0	1567815.0	1572253.0
GCF_000240095.1	3546713.0	3534593.0	3491785.0	3598593.0	3499622.0	3557069.0	3292209.0	3407185.0	3696979.0	3546886.0	3548745.0	3331503.0	3598904.0	3601657.0	3277909.0	3600972.0	3640843.0	3481456.0	3547649.0	3547573.0	3599092.0	3334871.0	3481885.0	1569162.0	3549736.0	1564498.0	3485212.0	3547555.0	3480719.0	1567934.0	4045712.0	3415820.0	3547475.0	4053922.0	3558692.0	3546718.0	3545770.0	3406073.0	3491947.0	3547119.0	3545257.0	3546905.0	3440307.0	3444531.0	3546903.0	3492000.0	3615882.0	3374874.0
GCA_000773465.1	3428751.0	3404377.0	3370531.0	3444494.0	3375289.0	3474512.0	3303227.0	3421731.0	3071478.0	3429042.0	3433687.0	3310915.0	3444397.0	3443072.0	3330534.0	3447921.0	3446881.0	3447931.0	3413264.0	3429819.0	3443701.0	3390113.0	3447302.0	1553831.0	3433236.0	1554809.0	3365264.0	3431013.0	3360821.0	1554181.0	3415820.0	4019824.0	3429423.0	3414036.0	3446819.0	3430248.0	3428147.0	3736362.0	3446025.0	3429858.0	3428248.0	3428988.0	3599629.0	3398748.0	3429466.0	3375407.0	3455033.0	3390937.0
SRR3240397_final	3925240.0	3566125.0	3859769.0	3684160.0	3479149.0	3517893.0	3289284.0	3421718.0	3170047.0	3925569.0	3926551.0	3273659.0	3685098.0	3632290.0	3314123.0	3684011.0	3584590.0	3529784.0	3578478.0	3925675.0	3682028.0	3425114.0	3527372.0	1550794.0	3927969.0	1545937.0	3851997.0	3925517.0	3848531.0	1549866.0	3547475.0	3429423.0	3922851.0	3540448.0	3932810.0	3924705.0	3944345.0	3424091.0	3528050.0	3926006.0	3924779.0	3925268.0	3464383.0	3492586.0	3925702.0	3857698.0	3698907.0	3382680.0
GCF_000331815.1	3539605.0	3532804.0	3485852.0	3589127.0	3488396.0	3550563.0	3288789.0	3406432.0	3673746.0	3539859.0	3541793.0	3311806.0	3589521.0	3592123.0	3271604.0	3592958.0	3638834.0	3476421.0	3542740.0	3540786.0	3589693.0	3330906.0	3476229.0	1567570.0	3542594.0	1563527.0	3479393.0	3540413.0	3475196.0	1566917.0	4053922.0	3414036.0	3540448.0	4032720.0	3552693.0	3540464.0	3538628.0	3402120.0	3492294.0	3540095.0	3539101.0	3539770.0	3437862.0	3441298.0	3539876.0	3486421.0	3597718.0	3372640.0
SRR3240410_final	3932398.0	3583136.0	3867661.0	3720773.0	3527192.0	3535377.0	3299468.0	3441493.0	3181355.0	3927600.0	3933209.0	3289267.0	3721804.0	3664849.0	3334914.0	3720875.0	3602351.0	3557943.0	3594994.0	3926708.0	3719270.0	3452052.0	3556120.0	1553908.0	3939700.0	1549769.0	3859415.0	3929648.0	3856149.0	1553599.0	3558692.0	3446819.0	3932810.0	3552693.0	4002412.0	3929789.0	3951970.0	3439126.0	3540493.0	3928423.0	3928967.0	3933317.0	3482818.0	3540535.0	3935410.0	3866317.0	3735638.0	3407901.0
SRR3240412_final	3924410.0	3566456.0	3860053.0	3685303.0	3479240.0	3517782.0	3288794.0	3421984.0	3168769.0	3920932.0	3924736.0	3273063.0	3686095.0	3633043.0	3314480.0	3684798.0	3585226.0	3530058.0	3578784.0	3921057.0	3683123.0	3425517.0	3526957.0	1549157.0	3930843.0	1544300.0	3852002.0	3923718.0	3849313.0	1548229.0	3546718.0	3430248.0	3924705.0	3540464.0	3929789.0	3913666.0	3943584.0	3424187.0	3528133.0	3923878.0	3920804.0	3925186.0	3464125.0	3492525.0	3927279.0	3857865.0	3698785.0	3381748.0
SRR3240404_final	3943626.0	3564032.0	3879515.0	3682575.0	3479515.0	3516161.0	3287527.0	3420338.0	3168262.0	3938396.0	3945198.0	3272684.0	3683513.0	3630705.0	3313435.0	3682426.0	3582936.0	3528713.0	3576328.0	3938284.0	3680443.0	3424491.0	3526370.0	1549588.0	3950333.0	1544731.0	3871776.0	3944164.0	3868837.0	1548660.0	3545770.0	3428147.0	3944345.0	3538628.0	3951970.0	3943584.0	3916672.0	3423212.0	3526239.0	3944536.0	3943426.0	3943915.0	3463670.0	3492647.0	3946683.0	3878233.0	3697437.0	3381625.0
GCF_000735205.1	3423536.0	3391329.0	3367240.0	3433629.0	3339133.0	3469254.0	3280167.0	3387258.0	3063248.0	3423710.0	3427143.0	3292327.0	3424860.0	3435084.0	3317666.0	3424522.0	3433559.0	3429805.0	3402803.0	3424165.0	3433136.0	3373572.0	3428523.0	1590081.0	3426666.0	1586657.0	3363179.0	3424989.0	3357162.0	1589058.0	3406073.0	3736362.0	3424091.0	3402120.0	3439126.0	3424187.0	3423212.0	3936249.0	3435367.0	3424475.0	3421875.0	3423659.0	3560899.0	3363322.0	3424132.0	3373075.0	3444476.0	3367998.0
GCF_001482795.1	3527904.0	3448661.0	3464094.0	3554051.0	3444370.0	3508085.0	3261786.0	3386708.0	3140914.0	3527825.0	3529114.0	3281434.0	3553519.0	3553943.0	3275536.0	3553783.0	3476332.0	3535219.0	3455441.0	3528351.0	3552351.0	3338167.0	3536175.0	1577700.0	3531488.0	1573899.0	3458377.0	3528331.0	3453773.0	1571646.0	3491947.0	3446025.0	3528050.0	3492294.0	3540493.0	3528133.0	3526239.0	3435367.0	4023312.0	3528170.0	3525876.0	3527580.0	3455131.0	3412868.0	3527842.0	3463160.0	3559659.0	3377460.0
SRR3240413_final	3925362.0	3566465.0	3860232.0	3684887.0	3479653.0	3517779.0	3289753.0	3422102.0	3169791.0	3919810.0	3925548.0	3274648.0	3685811.0	3633003.0	3315336.0	3684521.0	3584855.0	3529799.0	3578819.0	3919919.0	3682768.0	3426357.0	3527441.0	1549906.0	3931795.0	1545049.0	3852282.0	3925721.0	3849280.0	1548971.0	3547119.0	3429858.0	3926006.0	3540095.0	3928423.0	3923878.0	3944536.0	3424475.0	3528170.0	3911053.0	3921267.0	3926423.0	3464936.0	3493095.0	3928632.0	3857949.0	3699573.0	3384393.0
SRR3240411_final	3924183.0	3564792.0	3859768.0	3683535.0	3478263.0	3515825.0	3287654.0	3420493.0	3167299.0	3920955.0	3924964.0	3270888.0	3684327.0	3631431.0	3312625.0	3683186.0	3583480.0	3528616.0	3576704.0	3920482.0	3681355.0	3422332.0	3525662.0	1549548.0	3930850.0	1544917.0	3851600.0	3920381.0	3848817.0	1548394.0	3545257.0	3428248.0	3924779.0	3539101.0	3928967.0	3920804.0	3943426.0	3421875.0	3525876.0	3921267.0	3907914.0	3925309.0	3462387.0	3491576.0	3927353.0	3857369.0	3697414.0	3380176.0
SRR3240408_final	3924624.0	3565498.0	3860399.0	3683785.0	3478983.0	3516686.0	3288958.0	3421134.0	3169375.0	3919322.0	3924875.0	3273698.0	3684723.0	3631915.0	3314175.0	3683229.0	3583983.0	3529012.0	3577340.0	3919464.0	3681734.0	3425231.0	3526906.0	1550794.0	3931174.0	1545937.0	3851443.0	3926147.0	3848659.0	1549866.0	3546905.0	3428988.0	3925268.0	3539770.0	3933317.0	3925186.0	3943915.0	3423659.0	3527580.0	3926423.0	3925309.0	3912467.0	3464418.0	3492140.0	3927842.0	3857211.0	3698183.0	3382715.0
GCF_000447375.1	3464007.0	3410277.0	3408348.0	3448690.0	3390618.0	3520208.0	3354199.0	3378469.0	3086649.0	3464156.0	3465690.0	3329857.0	3449563.0	3459475.0	3328465.0	3453808.0	3496337.0	3473925.0	3416127.0	3464492.0	3449204.0	3384671.0	3475023.0	1590644.0	3467733.0	1582557.0	3403386.0	3465586.0	3398609.0	1589177.0	3440307.0	3599629.0	3464383.0	3437862.0	3482818.0	3464125.0	3463670.0	3560899.0	3455131.0	3464936.0	3462387.0	3464418.0	3960658.0	3493485.0	3464170.0	3408931.0	3476007.0	3395282.0
